id,submit_time,cpu,gpu,duration,assigned_node,start_time,end_time,wait_time,turnaround_time
instance_8711,375260.0,96.0,0,20944.0,n-25,375260.0,396204.0,0.0,20944.0
instance_8710,375301.0,64.0,0,5968.0,n-5,375301.0,381269.0,0.0,5968.0
instance_8712,375306.0,64.0,0,5406.0,n-19,375306.0,380712.0,0.0,5406.0
instance_8713,375306.0,96.0,0,16659.0,n-44,375306.0,391965.0,0.0,16659.0
instance_8714,375380.0,64.0,0,30984.0,n-28,375380.0,406364.0,0.0,30984.0
instance_8715,375409.0,64.0,0,6426.0,n-40,375409.0,381835.0,0.0,6426.0
instance_8716,375409.0,64.0,0,15642.0,n-45,375409.0,391051.0,0.0,15642.0
instance_8719,376549.0,64.0,0,26365.0,n-0,376549.0,402914.0,0.0,26365.0
instance_8721,377333.0,96.0,0,6508.0,n-22,377333.0,383841.0,0.0,6508.0
instance_8722,377958.0,64.0,0,3584.0,n-9,377958.0,381542.0,0.0,3584.0
instance_8725,380132.0,64.0,0,5147.0,n-17,380132.0,385279.0,0.0,5147.0
instance_8726,380761.0,64.0,0,5593.0,n-27,380761.0,386354.0,0.0,5593.0
instance_8727,381092.0,64.0,0,9932.0,n-45,381092.0,391024.0,0.0,9932.0
instance_8728,381181.0,64.0,0,4786.0,n-46,381181.0,385967.0,0.0,4786.0
instance_8730,381487.0,8.0,1,66.0,n-2,381487.0,381553.0,0.0,66.0
instance_8731,382027.0,8.0,1,67.0,n-2,382027.0,382094.0,0.0,67.0
instance_8732,382301.0,96.0,0,4559.0,n-23,382301.0,386860.0,0.0,4559.0
instance_8733,384101.0,192.0,0,21201.0,n-21,384101.0,405302.0,0.0,21201.0
instance_8736,385174.0,8.0,1,11249.0,n-2,385174.0,396423.0,0.0,11249.0
instance_8737,385174.0,8.0,1,11249.0,n-28,385174.0,396423.0,0.0,11249.0
instance_8738,385175.0,8.0,1,11248.0,n-28,385175.0,396423.0,0.0,11248.0
instance_8739,385175.0,48.0,0,11248.0,n-31,385175.0,396423.0,0.0,11248.0
instance_8740,385175.0,48.0,0,11248.0,n-43,385175.0,396423.0,0.0,11248.0
instance_8741,385175.0,48.0,0,11248.0,n-12,385175.0,396423.0,0.0,11248.0
instance_8742,385175.0,48.0,0,11248.0,n-11,385175.0,396423.0,0.0,11248.0
instance_8743,385175.0,48.0,0,11248.0,n-9,385175.0,396423.0,0.0,11248.0
instance_8744,385175.0,48.0,0,11248.0,n-1,385175.0,396423.0,0.0,11248.0
instance_8745,385175.0,8.0,1,11248.0,n-11,385175.0,396423.0,0.0,11248.0
instance_8746,385329.0,64.0,0,26402.0,n-5,385329.0,411731.0,0.0,26402.0
instance_8747,385359.0,64.0,0,6700.0,n-17,385359.0,392059.0,0.0,6700.0
instance_8748,385452.0,64.0,0,20919.0,n-19,385452.0,406371.0,0.0,20919.0
instance_8749,385508.0,64.0,0,17917.0,n-6,385508.0,403425.0,0.0,17917.0
instance_8750,385572.0,64.0,0,1576.0,n-40,385572.0,387148.0,0.0,1576.0
instance_8751,385742.0,8.0,1,38.0,n-19,385742.0,385780.0,0.0,38.0
instance_8752,386612.0,64.0,0,4556.0,n-2,386612.0,391168.0,0.0,4556.0
instance_8754,386703.0,64.0,0,19633.0,n-27,386703.0,406336.0,0.0,19633.0
instance_8756,386883.0,8.0,1,3593.0,n-19,386883.0,390476.0,0.0,3593.0
instance_8757,386883.0,12.0,1,5606.0,n-1,386883.0,392489.0,0.0,5606.0
instance_8761,386883.0,8.0,1,3593.0,n-40,386883.0,390476.0,0.0,3593.0
instance_8762,386883.0,8.0,1,3541.0,n-40,386883.0,390424.0,0.0,3541.0
instance_8763,386883.0,2.0,1,3620.0,n-1,386883.0,390503.0,0.0,3620.0
instance_8766,386883.0,8.0,1,3620.0,n-16,386883.0,390503.0,0.0,3620.0
instance_8769,388167.0,8.0,1,29.0,n-11,388167.0,388196.0,0.0,29.0
instance_8770,388448.0,8.0,1,79.0,n-11,388448.0,388527.0,0.0,79.0
instance_8775,389748.0,48.0,0,6676.0,n-40,389748.0,396424.0,0.0,6676.0
instance_8776,389748.0,96.0,0,9691.0,n-22,389748.0,399439.0,0.0,9691.0
instance_8778,389774.0,64.0,0,21769.0,n-5,389774.0,411543.0,0.0,21769.0
instance_8779,389774.0,64.0,0,227323.0,n-46,389774.0,617097.0,0.0,227323.0
instance_8774,389953.0,48.0,0,6403.0,n-6,389953.0,396356.0,0.0,6403.0
instance_8787,390288.0,96.0,0,122105.00000000006,n-23,390288.0,512393.00000000006,0.0,122105.00000000006
instance_8782,390304.0,8.0,1,6899.0,n-11,390304.0,397203.0,0.0,6899.0
instance_8783,390304.0,8.0,1,6970.0,n-7,390304.0,397274.0,0.0,6970.0
instance_8788,390437.0,64.0,0,23095.0,n-26,390437.0,413532.0,0.0,23095.0
instance_8789,390497.0,64.0,0,12960.0,n-39,390497.0,403457.0,0.0,12960.0
instance_8790,390527.0,64.0,0,102337.00000000006,n-42,390527.0,492864.00000000006,0.0,102337.00000000006
instance_8791,390527.0,64.0,0,118940.00000000006,n-44,390527.0,509467.00000000006,0.0,118940.00000000006
instance_8793,390617.0,64.0,0,12130.0,n-24,390617.0,402747.0,0.0,12130.0
instance_8794,390648.0,64.0,0,12007.0,n-3,390648.0,402655.0,0.0,12007.0
instance_8795,390648.0,64.0,0,77236.00000000006,n-3,390648.0,467884.00000000006,0.0,77236.00000000006
instance_8797,391218.0,64.0,0,73115.0,n-2,391218.0,464333.0,0.0,73115.0
instance_8798,391368.0,64.0,0,4505.0,n-3,391368.0,395873.0,0.0,4505.0
instance_8799,391476.0,64.0,0,4583.0,n-18,391476.0,396059.0,0.0,4583.0
instance_8801,391476.0,64.0,0,95896.00000000006,n-46,391476.0,487372.00000000006,0.0,95896.00000000006
instance_8802,391608.0,48.0,0,4816.0,n-24,391608.0,396424.0,0.0,4816.0
instance_8800,391652.0,96.0,0,7263.0,n-4,391652.0,398915.0,0.0,7263.0
instance_8803,393257.0,64.0,0,19111.0,n-17,393257.0,412368.0,0.0,19111.0
instance_8804,395081.0,96.0,0,212.0,n-14,395081.0,395293.0,0.0,212.0
instance_8805,395261.0,64.0,0,8329.0,n-18,395261.0,403590.0,0.0,8329.0
instance_8806,395261.0,96.0,0,9251.0,n-44,395261.0,404512.0,0.0,9251.0
instance_8809,395411.0,64.0,0,16111.0,n-1,395411.0,411522.0,0.0,16111.0
instance_8807,395705.0,48.0,0,19407.0,n-14,395705.0,415112.0,0.0,19407.0
instance_8810,395891.0,64.0,0,10376.0,n-3,395891.0,406267.0,0.0,10376.0
instance_8814,395920.0,48.0,0,130.0,n-14,395920.0,396050.0,0.0,130.0
instance_8812,396070.0,96.0,0,297422.0,n-45,396070.0,693492.0,0.0,297422.0
instance_8815,396430.0,96.0,0,7562.0,n-25,396430.0,403992.0,0.0,7562.0
instance_8816,396491.0,64.0,0,6396.0,n-9,396491.0,402887.0,0.0,6396.0
instance_8817,397086.0,8.0,1,3563.0,n-19,397086.0,400649.0,0.0,3563.0
instance_8818,397086.0,8.0,1,3622.0,n-13,397086.0,400708.0,0.0,3622.0
instance_8819,397086.0,8.0,1,3626.0,n-16,397086.0,400712.0,0.0,3626.0
