id,submit_time,cpu,gpu,duration
instance_7516,57934.0,96.0,0,5175.000000000007
instance_7517,57934.0,64.0,0,102246.0
instance_7518,58563.00000000001,64.0,0,11757.999999999993
instance_7519,58773.00000000001,64.0,0,58619.00000000001
instance_7520,59184.00000000001,64.0,0,57947.00000000001
instance_7521,59703.00000000001,64.0,0,21688.999999999993
instance_7523,62326.00000000001,96.0,0,71427.0
instance_7524,62788.00000000001,12.0,1,5283.999999999993
instance_7525,62788.00000000001,12.0,1,10736.999999999993
instance_7526,63513.00000000001,64.0,0,33425.99999999999
instance_7527,63513.00000000001,64.0,0,81584.0
instance_7529,64095.00000000001,64.0,0,67680.0
instance_7531,65625.0,192.0,0,10505.0
instance_7533,66019.0,64.0,0,36625.0
instance_7534,66019.0,64.0,0,63964.000000000015
instance_7535,66019.0,64.0,0,65773.0
instance_7536,66019.0,64.0,0,66014.0
instance_7537,67170.0,12.0,1,3051.0
instance_7538,66467.0,64.0,0,19006.0
instance_7539,67740.0,192.0,0,58647.000000000015
instance_7540,67698.0,48.0,0,164400.0
instance_7541,67699.0,64.0,0,72090.0
instance_7543,69420.0,192.0,0,15675.0
instance_7544,69593.0,64.0,0,50632.000000000015
instance_7545,70704.0,64.0,0,74442.0
instance_7547,71875.0,64.0,0,73168.0
instance_7548,72996.0,12.0,1,5092.0
instance_7550,73494.0,64.0,0,15173.0
instance_7551,74067.0,64.0,0,26267.0
instance_7552,74717.0,64.0,0,5295.0
instance_7553,74746.0,192.0,0,162121.00000000003
instance_7555,75025.0,64.0,0,62886.0
instance_7556,75361.0,192.0,0,115321.0
instance_7557,76074.0,64.0,0,80327.0
instance_7558,77552.0,12.0,1,2824.0
instance_7559,76975.0,64.0,0,15926.0
instance_7561,78633.0,64.0,0,50742.000000000015
instance_7562,78632.0,64.0,0,59874.0
instance_7563,78633.0,64.0,0,297196.0
instance_7564,79112.0,64.0,0,6172.0
instance_7565,79263.0,64.0,0,50645.000000000015
instance_7566,79427.0,64.0,0,233264.0
instance_7567,82363.0,12.0,1,140.0
instance_7569,80673.0,64.0,0,57844.0
instance_7570,83982.0,64.0,0,205.0
instance_7572,84012.0,192.0,0,122320.0
instance_7574,84219.0,64.0,0,46206.000000000015
instance_7576,84189.0,64.0,0,4192.0
instance_7577,84339.0,64.0,0,4534.0
instance_7578,84639.0,64.0,0,65662.0
instance_7579,84639.0,64.0,0,70465.0
instance_7582,84972.0,96.0,0,3918.0
instance_7583,85000.0,64.0,0,4441.0
instance_7586,86292.0,96.0,0,2503.0
instance_7587,87576.0,96.0,0,4937.0
instance_7588,87576.0,96.0,0,42129.000000000015
instance_7589,87997.0,64.0,0,31942.000000000015
instance_7590,88211.0,8.0,1,76096.0
instance_7593,88325.0,64.0,0,28790.000000000015
instance_7594,88899.0,64.0,0,66126.0
instance_7595,88985.0,64.0,0,4285.0
instance_7598,90750.0,48.0,0,1235.0
instance_7599,90912.0,64.0,0,94279.0
instance_7600,90782.0,192.0,0,219013.0
instance_7604,91670.0,48.0,0,4419.0
instance_7605,91627.0,96.0,0,4689.0
instance_7606,91626.0,48.0,0,49283.0
instance_7607,91627.0,48.0,0,84989.0
instance_7608,91670.0,64.0,0,124796.0
instance_7609,91888.0,8.0,1,3480.0
instance_7610,91888.0,8.0,1,17964.0
instance_7611,92198.0,64.0,0,4117.0
instance_7613,92662.0,48.0,0,208389.0
instance_7614,93091.0,8.0,1,244309.0
instance_7615,92961.0,8.0,1,5810.0
instance_7616,93046.0,8.0,1,139253.0
instance_7617,93106.0,8.0,1,207952.0
instance_7618,92961.0,8.0,1,244195.0
instance_7620,93531.0,12.0,1,10731.0
instance_7621,93531.0,12.0,1,3876.0
instance_7626,95597.0,64.0,0,43917.0
instance_7627,95927.0,64.0,0,21289.000000000015
instance_7628,95927.0,64.0,0,26856.000000000015
instance_7629,96497.0,64.0,0,48547.0
instance_7630,96881.0,12.0,1,7381.0
instance_7631,97457.0,64.0,0,75281.0
instance_7635,98753.0,48.0,0,47272.0
instance_7637,98768.0,48.0,0,6950.0
instance_7638,98768.0,48.0,0,35141.0
instance_7639,98948.0,96.0,0,89850.0
instance_7641,99891.0,64.0,0,45574.0
instance_7644,101010.0,8.0,1,3598.0
instance_7645,102204.0,64.0,0,15007.000000000015
instance_7646,103732.0,12.0,1,32282.0
instance_7647,105026.0,48.0,0,251.0
instance_7648,105168.0,64.0,0,77450.0
instance_7650,105239.0,48.0,0,89777.0
instance_7652,105482.0,48.0,0,291170.0
instance_7653,107989.0,8.0,1,1863.0
instance_7654,108893.0,64.0,0,4259.0
instance_7656,109749.0,192.0,0,3865.0
instance_7659,112640.0,64.0,0,3042.0
instance_7660,113289.0,96.0,0,11646.000000000015
instance_7661,115046.0,64.0,0,10154.000000000015
instance_7662,115481.0,64.0,0,78258.0
instance_7663,115526.0,64.0,0,1685.0000000000146
instance_7664,116630.0,96.0,0,51628.0
instance_7665,116703.0,64.0,0,35467.0
instance_7666,116732.0,64.0,0,48567.0
instance_7667,116763.0,64.0,0,50912.0
instance_7668,116763.0,64.0,0,97972.0
instance_7669,116793.0,64.0,0,24332.0
instance_7670,117272.00000000001,64.0,0,52069.999999999985
instance_7671,118075.00000000001,12.0,1,157.0
instance_7672,118363.00000000001,48.0,0,41039.999999999985
instance_7673,118363.00000000001,48.0,0,70234.99999999999
instance_7674,118773.00000000001,64.0,0,47698.999999999985
instance_7675,120515.00000000001,64.0,0,17803.999999999985
instance_7676,122344.00000000001,64.0,0,50261.999999999985
instance_7677,122600.00000000001,192.0,0,84629.99999999999
instance_7678,123454.00000000001,96.0,0,36264.999999999985
instance_7679,126481.00000000001,12.0,1,447.0
instance_7680,124561.00000000001,12.0,1,11461.999999999985
instance_7681,124536.00000000001,64.0,0,48101.999999999985
instance_7682,124924.00000000001,64.0,0,4522.0
instance_7683,124925.00000000001,96.0,0,129.0
instance_7685,125756.00000000001,64.0,0,1911.0
instance_7687,126877.00000000001,64.0,0,93709.99999999999
instance_7688,127382.00000000001,12.0,1,429.0
instance_7689,127602.00000000001,12.0,1,2709.0
instance_7690,127602.00000000001,12.0,1,2709.0
instance_7691,127999.00000000001,64.0,0,60423.999999999985
instance_7692,128573.00000000001,48.0,0,948.0
instance_7693,128573.00000000001,48.0,0,60236.999999999985
instance_7694,128573.00000000001,48.0,0,66431.99999999999
instance_7695,128573.00000000001,48.0,0,268142.0
instance_7697,128573.00000000001,96.0,0,9932.999999999985
instance_7698,128574.00000000001,96.0,0,11537.999999999985
instance_7699,128632.00000000001,64.0,0,36161.999999999985
instance_7700,128573.00000000001,64.0,0,39850.999999999985
instance_7701,128573.00000000001,64.0,0,44244.999999999985
instance_7702,128632.00000000001,64.0,0,83222.99999999999
instance_7704,128632.00000000001,64.0,0,8707.999999999985
instance_7706,129353.00000000001,64.0,0,11447.999999999985
instance_7707,131092.0,48.0,0,71.0
instance_7708,129532.00000000001,96.0,0,8393.999999999985
instance_7709,129532.00000000001,64.0,0,25749.999999999985
instance_7711,131273.0,64.0,0,7192.0
instance_7712,131273.0,64.0,0,7197.0
instance_7713,131273.0,64.0,0,25076.0
instance_7714,131275.0,96.0,0,6545.0
instance_7716,132621.0,48.0,0,50821.0
instance_7717,134121.0,96.0,0,2682.0
instance_7718,135478.0,12.0,1,8304.0
instance_7719,135478.0,12.0,1,13281.0
instance_7720,137290.0,48.0,0,120.0
instance_7721,138266.0,48.0,0,128.0
instance_7722,137152.0,48.0,0,128.0
instance_7723,136629.0,48.0,0,126.0
instance_7724,136674.0,64.0,0,74788.0
instance_7725,137634.0,48.0,0,186408.0
instance_7726,137049.0,48.0,0,253676.0
instance_7733,136674.0,48.0,0,12422.0
instance_7734,136644.0,48.0,0,16622.0
instance_7735,136629.0,64.0,0,31870.0
instance_7736,136644.0,48.0,0,77227.0
instance_7737,136674.0,96.0,0,172953.0
instance_7738,136630.0,96.0,0,269767.0
instance_7741,136629.0,48.0,0,127.0
instance_7743,137235.0,96.0,0,224626.0
instance_7745,137469.0,64.0,0,15984.0
instance_7747,137694.0,64.0,0,166199.0
instance_7750,137709.0,64.0,0,68890.0
instance_7752,137879.0,12.0,1,2708.0
instance_7753,138004.0,96.0,0,77197.0
instance_7754,137948.0,64.0,0,18453.0
instance_7755,138039.0,64.0,0,7474.0
instance_7759,138399.0,64.0,0,21562.0
instance_7760,138430.0,64.0,0,75862.0
instance_7761,138614.0,96.0,0,10902.0
instance_7762,138699.0,64.0,0,21716.0
instance_7769,139726.0,48.0,0,79028.0
instance_7770,137570.0,48.0,0,129.0
instance_7771,139239.0,64.0,0,29454.0
instance_7772,139329.0,64.0,0,33587.0
instance_7773,139329.0,48.0,0,55192.0
instance_7776,139331.0,96.0,0,10369.0
instance_7778,139809.0,64.0,0,46606.0
instance_7779,140106.0,64.0,0,9009.0
instance_7780,140199.0,96.0,0,4793.0
instance_7781,140199.0,48.0,0,20875.0
instance_7783,140556.0,64.0,0,9127.0
instance_7784,140635.0,64.0,0,79114.0
instance_7785,140800.0,48.0,0,132165.0
instance_7789,141010.0,48.0,0,35760.0
instance_7790,141108.0,48.0,0,919.0
instance_7791,143220.0,12.0,1,5556.0
instance_7792,141329.0,96.0,0,1337.0
instance_7793,141554.0,48.0,0,2688.0
instance_7794,141554.0,48.0,0,47018.0
instance_7795,141767.0,96.0,0,269616.0
instance_7796,142439.0,8.0,1,5723.0
instance_7797,142442.0,8.0,1,5647.0
instance_7798,143083.0,64.0,0,7308.0
instance_7800,144043.0,48.0,0,44116.0
instance_7801,144584.0,64.0,0,4539.0
instance_7802,144584.0,64.0,0,5057.0
instance_7803,144584.0,64.0,0,11770.0
instance_7804,144584.0,64.0,0,15388.0
instance_7805,144584.0,64.0,0,140356.0
instance_7806,144584.0,96.0,0,4006.0
instance_7807,144585.0,48.0,0,252349.0
instance_7808,144849.0,64.0,0,7853.0
instance_7809,144851.0,64.0,0,11503.0
instance_7810,145094.0,48.0,0,951.0
instance_7811,145334.0,48.0,0,6210.0
instance_7814,146046.0,48.0,0,1819.0
instance_7815,147950.0,8.0,1,11257.0
instance_7818,148136.0,12.0,1,3956.0
instance_7819,148136.0,12.0,1,18627.0
instance_7820,148222.0,48.0,0,49786.0
instance_7821,148266.0,48.0,0,67778.0
instance_7822,148222.0,96.0,0,4362.0
instance_7823,148223.0,96.0,0,16775.0
instance_7824,148223.0,96.0,0,66917.0
instance_7827,148613.0,64.0,0,15742.0
instance_7828,149182.0,64.0,0,10993.0
instance_7829,149693.0,64.0,0,19802.0
instance_7830,149783.0,64.0,0,55082.0
instance_7831,149788.0,48.0,0,951.0
instance_7832,149843.0,64.0,0,22823.0
instance_7834,150742.0,48.0,0,112321.0
instance_7835,151557.0,12.0,1,14270.0
instance_7836,151738.0,64.0,0,20967.0
instance_7837,151866.0,64.0,0,20795.0
instance_7838,151922.0,48.0,0,108527.00000000003
instance_7840,152383.0,192.0,0,7847.0
instance_7841,152796.0,64.0,0,2634.0
instance_7842,154538.0,192.0,0,31977.0
instance_7843,154478.0,64.0,0,145682.0
instance_7844,154509.0,64.0,0,105247.00000000003
instance_7845,154598.0,64.0,0,6070.0
instance_7846,155049.0,64.0,0,5635.0
instance_7847,155709.0,64.0,0,4300.0
instance_7848,155743.0,64.0,0,16511.0
instance_7849,155799.0,64.0,0,46512.0
instance_7850,155828.0,64.0,0,8676.0
instance_7852,158075.0,96.0,0,16557.0
instance_7853,158284.0,12.0,1,2709.0
instance_7855,158527.0,64.0,0,2597.0
instance_7856,158527.0,48.0,0,17555.0
instance_7857,158954.0,8.0,1,183714.0
instance_7859,159154.0,192.0,0,14375.0
instance_7860,159501.0,64.0,0,4867.0
instance_7861,159501.0,64.0,0,13154.0
instance_7863,159501.0,64.0,0,9368.0
instance_7864,159501.0,64.0,0,13154.0
instance_7865,159950.0,64.0,0,4551.0
instance_7866,160192.0,64.0,0,8917.0
instance_7867,160221.0,64.0,0,8537.0
instance_7868,160281.0,64.0,0,22462.0
instance_7871,160581.0,64.0,0,8009.0
instance_7872,161661.0,12.0,1,2709.0
instance_7874,163743.0,96.0,0,177059.0
instance_7875,163862.0,64.0,0,4852.0
instance_7876,163862.0,64.0,0,5125.0
instance_7877,163862.0,64.0,0,9898.0
instance_7878,163862.0,64.0,0,9037.0
instance_7879,163894.0,64.0,0,15492.0
instance_7880,163977.0,48.0,0,638.0
instance_7881,164606.0,64.0,0,8032.0
instance_7882,164628.0,48.0,0,117037.0
instance_7883,164749.0,64.0,0,240822.0
instance_7885,165306.0,12.0,1,7670.0
instance_7886,166147.0,12.0,1,14344.0
instance_7890,165987.0,64.0,0,3604.0
instance_7893,167392.0,64.0,0,5116.0
instance_7894,167407.0,96.0,0,4839.0
